ENROLLMENTPIDM,GENDER,FIRST_GEN,LOW_SES,LGBTQ,AGE,Age Group,ETHNICITYROLLUP,MIDEAST,API,HISPANIC,CREDITHOURS,CR/NC,FIRSTTIMEATWVC,FIRSTSEM,FINAID2223,ZIPCODE,SPRADDR_CITY,STVEGOL_DESC,STVMAJR_DESC,TOTAL_UNITS_ATT,TOTAL_UNITS_EARNED,SHRLGPA_GPA_HOURS,SHRLGPA_QUALITY_POINTS,STVSTYP_DESC,EDLEVEL,High School,HSCODE,GRAD_YEAR,RESIDENCY_TYPE
653865,Female,N,N,N,59,50+,White,N,N,N,3.0-5.9,Credit,No,200130,No,95076,Watsonville,Adv in career/update jobskills,Nutrition & Dietetics,32.5,28,26,104,Returning Student,Bachelor Degree or higher,High School - Michigan,600220,1980,In state Resident
654663,Male,Y,N,N,63,50+,White,N,N,N,0.1-2.9,Credit,No,200230,No,95060,Santa Cruz,Vocational certificate,Commercial Music Production,29,29,25,100,Continuing Student,Bachelor Degree or higher,Loara High,303378,1977,In state Resident
670351,Female,N,N,N,57,50+,White,N,N,N,12.0-14.9,Credit,No,198530,No,95008,Campbell,Associate & transfer to 4-yr,Undeclared,170.5,148.5,123,413,Continuing Student,Associate Degree,San Lrenz Valley High Schl,050927,1983,In state Resident
682027,Female,Y,N,N,51,50+,Asian,N,Y,N,0.1-2.9,Credit,No,199830,No,94024,Los Altos,Undeciced on goal,Liberal Arts: Arts & Hum,20,10,8,32,Returning Student,Bachelor Degree or higher,Westmoor High,413779,1988,In state Resident
688796,Female,N,Y,N,60,50+,White,N,N,N,3.0-5.9,Credit,No,198050,Yes,95124,San Jose,Associate & transfer to 4-yr,Medical Admininstrative Asst,449.3,316.5,277.8,726.5,Continuing Student,Associate Degree,Camden High,433107,1980,In state Resident
735850,Male,N,N,N,61,50+,Hispanic,N,N,Y,3.0-5.9,Credit,No,198430,No,95118,San Jose,Associate & transfer to 4-yr,Park Management,108,99,108,331,Continuing Student,Associate Degree,Willw Glen High Schl,053105,1978,In state Resident
763299,Female,N,N,N,60,50+,Two or More,N,Y,N,3.0-5.9,Credit,No,199330,No,95117,San Jose,Associate & transfer to 4-yr,Biological Science,176.5,168.5,166,472,Continuing Student,Associate Degree,Rancho Alamitos High,303570,1985,In state Resident
782622,Male,N,N,N,59,50+,Asian,N,Y,N,3.0-5.9,Credit,No,202250,No,95129,San Jose,Adv in career/update jobskills,Economics,2,1,1,4,Returning Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1980,In state Resident
816077,Female,N,N,N,59,50+,White,N,N,N,3.0-5.9,Credit,No,201870,No,95050,Santa Clara,Associate & transfer to 4-yr,Liberal Arts: Arts & Hum,82,68,69,233,Continuing Student,,Muntain View Academy,052065,1980,In state Resident
833064,Female,N,N,N,50,50+,White,N,N,N,3.0-5.9,Credit,Yes,,No,95032,Los Gatos,Associate & transfer to 4-yr,Spanish,10.5,10.5,10.5,41.5,Returning Student,Bachelor Degree or higher,Monta Vista High,053446,1990,In state Resident
851461,Female,N,N,N,57,50+,White,N,N,N,6.0-8.9,Credit,No,198370,No,95037,Morgan Hill,Adv in career/update jobskills,Early Childhood Education,26,18,19,66,Returning Student,Associate Degree,Pineer High Schl,053096,1983,In state Resident
874810,Female,N,N,N,63,50+,White,N,N,N,3.0-5.9,Credit,No,199130,No,95020,Gilroy,Associate & transfer to 4-yr,Nutrition & Dietetics,18,15,15,60,Returning Student,Received High School Diploma,Gilry High Schl,051040,1977,In state Resident
880065,Female,N,N,N,61,50+,Two or More,N,N,N,0.1-2.9,Credit,No,200130,No,95120,San Jose,Associate & transfer to 4-yr,Art History,4.5,3.5,0,0,Returning Student,Bachelor Degree or higher,Eureka Senior High,123220,1979,In state Resident
895265,Male,N,N,N,70,50+,White,N,N,N,3.0-5.9,Credit,No,198530,No,95033,Los Gatos,Educational development,"Film, TV, Elec. Media, AA-T",3,3,3,12,Returning Student,Bachelor Degree or higher,Rio Americano High,343671,1970,In state Resident
910494,Female,N,N,N,52,50+,White,N,N,N,3.0-5.9,Credit,No,198850,No,95020,Gilroy,Associate & transfer to 4-yr,Public Health,207.5,115.5,106,268,Continuing Student,Bachelor Degree or higher,Santa Teresa High,433002,1988,In state Resident
920707,Female,N,N,N,60,50+,White,N,N,N,3.0-5.9,Credit,No,198370,No,95051,Santa Clara,Educational development,Undeclared,19,16,15,60,Continuing Student,,,,,In state Resident
972083,Female,N,N,N,59,50+,Asian,N,Y,N,0.1-2.9,Credit,No,197950,No,94086,Sunnyvale,Vocational certificate,Court Reporting,192.67,189.67,184.34,633.02,Continuing Student,Bachelor Degree or higher,Petersen Alternative Ctr Educ,052004,1980,In state Resident
974893,Female,N,N,N,54,50+,White,N,N,N,3.0-5.9,Credit,No,198750,No,95032,Los Gatos,Educational development,"Interior Design Fundamenta, AS",32,16,26,22,Returning Student,Received High School Diploma,Ls Gats High Schl,051855,1986,In state Resident
977862,Female,U,N,N,57,50+,Hispanic,N,N,Y,3.0-5.9,Credit,No,198530,No,95117,San Jose,Undeciced on goal,Communication Studies,73,62,61,136,Returning Student,Bachelor Degree or higher,Soquel High,443740,1983,In state Resident
982869,Male,N,N,N,53,50+,White,N,N,N,3.0-5.9,Credit,No,198770,No,95160,San Jose,Associate & transfer to 4-yr,Business Administration,175.5,114.5,88,306,Continuing Student,Received High School Diploma,Leland High Schl,053091,1987,In state Resident
986935,Female,N,Y,N,43,40-49,Hispanic,N,N,Y,3.0-5.9,Credit,No,199750,Yes,94086,Sunnyvale,Vocational certificate,Paralegal,20,14.5,9.5,35,Continuing Student,Bachelor Degree or higher,Homestead High,053462,1996,In state Resident
1021023,Female,N,N,N,53,50+,Asian,N,Y,N,12.0-14.9,Credit,Yes,,No,94086,Sunnyvale,Associate & transfer to 4-yr,"Architecture, AS",12.5,12.5,9,36,Returning Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1987,In state Resident
1036171,Male,Y,N,N,56,50+,Asian,N,Y,N,0.1-2.9,Credit,No,202170,No,94086,Sunnyvale,Educational development,Liberal Arts: Comm & Media,5,1,1,4,Continuing Student,Bachelor Degree or higher,Mnre Cllege-New Rchelle,193317,1985,In state Resident
1042612,Male,N,N,N,64,50+,White,N,N,N,0.1-2.9,Credit,Yes,,No,95050,Santa Clara,Improve basic skills,Music,6,0,0,0,Returning Student,Bachelor Degree or higher,,9999HS,1975,In state Resident
1052710,Female,N,N,N,32,30-34,White,N,N,N,3.0-5.9,Credit,No,200770,No,95123,San Jose,Associate & transfer to 4-yr,Undeclared,132,88,100,274,Continuing Student,,Oak Grove High,053099,2007,Community Education
1060248,Male,Y,N,N,51,50+,White,N,N,N,3.0-5.9,Credit,No,200630,No,95130,San Jose,Maintain certificate/license,Spanish,115.25,116.75,111,408.5,Returning Student,Associate Degree,Foreign High School,8XXXXX,1988,In state Resident
1068220,Male,N,N,Y,30,30-34,Asian,N,Y,N,6.0-8.9,Credit,No,200170,No,95129,San Jose,Vocational certificate,Landscape Architecture,23,23,23,92,Continuing Student,Bachelor Degree or higher,Lynbrook High,433442,2009,In state Resident
1068412,Female,Y,Y,N,50,50+,White,N,N,N,12.0-14.9,Credit,No,200170,Yes,95070,Saratoga,Associate & transfer to 4-yr,Business Admininstration,146.5,107.5,104,356,Continuing Student,Foreign 2ndr Diploma/Cert Grad,Foreign High School,8XXXXX,1988,In state Resident
1072999,Female,Y,N,N,53,50+,White,Y,N,N,3.0-5.9,Credit,No,200230,No,95129,San Jose,2-yr associate degree,Art History,29.5,22.5,19.5,72,Continuing Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1991,In state Resident
1075651,Male,N,N,N,50,50+,Asian,N,Y,N,0.1-2.9,Credit,No,200530,No,94086,Sunnyvale,Associate & transfer to 4-yr,Undeclared,38,24,16,61,Continuing Student,Bachelor Degree or higher,Foreign High School,8XXXXX,1990,In state Resident
1078337,Female,N,N,Y,38,35-39,White,N,N,N,3.0-5.9,Credit,No,200250,No,95126,San Jose,Maintain certificate/license,"Child & Adolescent Dev, AA-T",82.1,72.6,65.6,208.3,Returning Student,Bachelor Degree or higher,Leland High,433352,2002,In state Resident
1086808,Female,N,Y,N,47,40-49,Hispanic,N,N,Y,6.0-8.9,Credit,No,200270,No,95032,Los Gatos,Associate & transfer to 4-yr,Liberal Arts: Arts & Hum,7,3,7,12,Continuing Student,Received High School Diploma,Carpinteria Senior High,423058,1992,In state Resident
1093460,Female,Y,N,N,37,35-39,Hispanic,N,N,Y,3.0-5.9,Credit,No,202230,No,95128,San Jose,Associate & transfer to 4-yr,Public Health,11,0,6,0,Continuing Student,Certificate of CA HS Profic.,Wilson Alternative,433024,2002,In state Resident
1095530,Female,N,N,N,54,50+,White,N,N,N,3.0-5.9,Credit,No,200330,No,95070,Saratoga,Discovery-career interest/goal,French,70,54,62,188.5,Continuing Student,Bachelor Degree or higher,Foreign High School,9998HS,1985,In state Resident
1108915,Female,N,N,N,44,40-49,Hispanic,N,N,Y,3.0-5.9,Credit,No,201370,No,95126,San Jose,Transfer to 4-year w/o Asso.,Liberal Arts: Soc & Beh Sci,39.5,33.5,36.5,124,Returning Student,Associate Degree,Foreign High School,8XXXXX,1997,In state Resident
1122572,Male,N,N,N,33,30-34,Asian,N,Y,N,3.0-5.9,Credit,No,200550,No,95070,Saratoga,Associate & transfer to 4-yr,Communication Studies,104.5,67.5,69,227,Continuing Student,,Saratga High Schl,053343,2007,In state Resident
1132395,Female,N,N,N,57,50+,White,N,N,N,3.0-5.9,Credit,No,202250,No,95033,Los Gatos,Associate & transfer to 4-yr,"Accounting Clerk, CA",1,1,1,4,Transfer Student,Bachelor Degree or higher,Leland High,433352,1983,In state Resident
1136334,Female,Y,Y,N,35,35-39,Hispanic,N,N,Y,6.0-8.9,Credit,No,200530,Yes,95125,San Jose,Associate & transfer to 4-yr,Interior Design,43.5,40.5,39,156,Continuing Student,Received High School Diploma,Abraham Lincln High Schl,053075,2005,In state Resident
1138997,Female,N,Y,N,34,30-34,Hispanic,N,N,Y,9.0-11.9,Credit,No,200570,No,95050,Santa Clara,Prep for new career/job skill,Accounting,158.8,103.5,102.3,252.5,Returning Student,Bachelor Degree or higher,Othr CA High Sch - no CDS code,600050,2006,In state Resident
1142556,Female,Y,Y,N,50,50+,White,N,N,N,3.0-5.9,Credit,No,200630,No,95008,Campbell,Associate & transfer to 4-yr,Business Admininstration,71.5,59.5,53,206,Continuing Student,GED/HS Cert Equiv/Completion,Foreign High School,9998HS,1988,In state Resident
1143717,Female,Y,N,N,42,40-49,Hispanic,N,N,Y,3.0-5.9,Credit,No,200730,No,95050,Santa Clara,Associate & transfer to 4-yr,Administration of Justice,40,37,37,127,Continuing Student,Received High School Diploma,Othr CA High Sch - no CDS code,600050,2006,In state Resident
1152221,Female,N,N,N,34,30-34,White,N,N,N,6.0-8.9,Credit,No,200670,No,95128,San Jose,Associate & transfer to 4-yr,Liberal Arts: Comm & Media,108,78,76,276,Continuing Student,Received High School Diploma,Del Mar High Schl,053083,2006,In state Resident
